,name,description,has_sizes,reviewerName,text,isObscene,matchingSize,mark,color,gender_token
0,Рубашка оверсайз,"ВНИМАНИЕ! Рубашка из хлопка мнется, так как материал натуральный. Если вы предпочитаете рубашки из менее прихотливых видов ткани, обратите внимание на рубашку такой же посадки из смесового хлопка - арт. 80012708 Рубашка из смесового хлопка не мнется и легко гладится.Плотная рубашка оверсайз из натурального мягкого и приятного к телу 100% хлопка. Без обьемной рубашки с длинным рукавом не обойдется ни один базовый гардероб. Блуза прямого кроя оверсайз станет любимой одеждой девочек подростков, взрослых девушек и даже беременных. Классическая объемная рубаха обладает невероятно большим спектром применение, подойдет для офиса и школы, вечерних весенних прогулок, праздничных мероприятий. Плотная, но легкая хлопковая блузка женская идеально дополнит подростковый и рабочий лук, будет активно использоваться в повседневной жизни не только летом, но и в демисезонный период (осенью и весной). С ней без труда удастся создать модные, красивые луки. Хлопок при этом обеспечит полный комфорт. Мягкая рубашка будет широко востребована у модниц всех возрастов. Данная рубашка невероятно удобная, она не сковывает движения, не сдавливает плечи. В модельном ряде представлено множество вариантов цветов рубашек- белая, бежевая, зеленая, розовая, сиреневая, черная, фуксия и др. Вы можете купить наши товары по акции, в подарок со скидкой!Сделано в России.",True,Эсмиральда,"Приятная к телу, свободная в пройме. На мой ОГ 102 И РОСТ 156  разм. 50 сел оверсайз, как и хотела. По спинке ниже попы, спереди закрыл пах. Ворот немного большеват... но, в моём случае это плюс, не давит на горло)))",False,ok,5.0,белый,<Ж>
1,Рубашка оверсайз,"ВНИМАНИЕ! Рубашка из хлопка мнется, так как материал натуральный. Если вы предпочитаете рубашки из менее прихотливых видов ткани, обратите внимание на рубашку такой же посадки из смесового хлопка - арт. 80012708 Рубашка из смесового хлопка не мнется и легко гладится.Плотная рубашка оверсайз из натурального мягкого и приятного к телу 100% хлопка. Без обьемной рубашки с длинным рукавом не обойдется ни один базовый гардероб. Блуза прямого кроя оверсайз станет любимой одеждой девочек подростков, взрослых девушек и даже беременных. Классическая объемная рубаха обладает невероятно большим спектром применение, подойдет для офиса и школы, вечерних весенних прогулок, праздничных мероприятий. Плотная, но легкая хлопковая блузка женская идеально дополнит подростковый и рабочий лук, будет активно использоваться в повседневной жизни не только летом, но и в демисезонный период (осенью и весной). С ней без труда удастся создать модные, красивые луки. Хлопок при этом обеспечит полный комфорт. Мягкая рубашка будет широко востребована у модниц всех возрастов. Данная рубашка невероятно удобная, она не сковывает движения, не сдавливает плечи. В модельном ряде представлено множество вариантов цветов рубашек- белая, бежевая, зеленая, розовая, сиреневая, черная, фуксия и др. Вы можете купить наши товары по акции, в подарок со скидкой!Сделано в России.",True,Дарья,Как базовая рубашка норм,False,ok,5.0,белый,<М>
2,Рубашка оверсайз,"ВНИМАНИЕ! Рубашка из хлопка мнется, так как материал натуральный. Если вы предпочитаете рубашки из менее прихотливых видов ткани, обратите внимание на рубашку такой же посадки из смесового хлопка - арт. 80012708 Рубашка из смесового хлопка не мнется и легко гладится.Плотная рубашка оверсайз из натурального мягкого и приятного к телу 100% хлопка. Без обьемной рубашки с длинным рукавом не обойдется ни один базовый гардероб. Блуза прямого кроя оверсайз станет любимой одеждой девочек подростков, взрослых девушек и даже беременных. Классическая объемная рубаха обладает невероятно большим спектром применение, подойдет для офиса и школы, вечерних весенних прогулок, праздничных мероприятий. Плотная, но легкая хлопковая блузка женская идеально дополнит подростковый и рабочий лук, будет активно использоваться в повседневной жизни не только летом, но и в демисезонный период (осенью и весной). С ней без труда удастся создать модные, красивые луки. Хлопок при этом обеспечит полный комфорт. Мягкая рубашка будет широко востребована у модниц всех возрастов. Данная рубашка невероятно удобная, она не сковывает движения, не сдавливает плечи. В модельном ряде представлено множество вариантов цветов рубашек- белая, бежевая, зеленая, розовая, сиреневая, черная, фуксия и др. Вы можете купить наши товары по акции, в подарок со скидкой!Сделано в России.",True,Алёна,Не подошла по размеру (велика),False,bigger,4.0,белый,<М>
4,Рубашка оверсайз,"ВНИМАНИЕ! Рубашка из хлопка мнется, так как материал натуральный. Если вы предпочитаете рубашки из менее прихотливых видов ткани, обратите внимание на рубашку такой же посадки из смесового хлопка - арт. 80012708 Рубашка из смесового хлопка не мнется и легко гладится.Плотная рубашка оверсайз из натурального мягкого и приятного к телу 100% хлопка. Без обьемной рубашки с длинным рукавом не обойдется ни один базовый гардероб. Блуза прямого кроя оверсайз станет любимой одеждой девочек подростков, взрослых девушек и даже беременных. Классическая объемная рубаха обладает невероятно большим спектром применение, подойдет для офиса и школы, вечерних весенних прогулок, праздничных мероприятий. Плотная, но легкая хлопковая блузка женская идеально дополнит подростковый и рабочий лук, будет активно использоваться в повседневной жизни не только летом, но и в демисезонный период (осенью и весной). С ней без труда удастся создать модные, красивые луки. Хлопок при этом обеспечит полный комфорт. Мягкая рубашка будет широко востребована у модниц всех возрастов. Данная рубашка невероятно удобная, она не сковывает движения, не сдавливает плечи. В модельном ряде представлено множество вариантов цветов рубашек- белая, бежевая, зеленая, розовая, сиреневая, черная, фуксия и др. Вы можете купить наши товары по акции, в подарок со скидкой!Сделано в России.",True,Анастасия,"Заказала за 900 р, прислали не тот размер. А теперь  она дороже",False,ok,1.0,белый,<М>
5,Рубашка оверсайз,"ВНИМАНИЕ! Рубашка из хлопка мнется, так как материал натуральный. Если вы предпочитаете рубашки из менее прихотливых видов ткани, обратите внимание на рубашку такой же посадки из смесового хлопка - арт. 80012708 Рубашка из смесового хлопка не мнется и легко гладится.Плотная рубашка оверсайз из натурального мягкого и приятного к телу 100% хлопка. Без обьемной рубашки с длинным рукавом не обойдется ни один базовый гардероб. Блуза прямого кроя оверсайз станет любимой одеждой девочек подростков, взрослых девушек и даже беременных. Классическая объемная рубаха обладает невероятно большим спектром применение, подойдет для офиса и школы, вечерних весенних прогулок, праздничных мероприятий. Плотная, но легкая хлопковая блузка женская идеально дополнит подростковый и рабочий лук, будет активно использоваться в повседневной жизни не только летом, но и в демисезонный период (осенью и весной). С ней без труда удастся создать модные, красивые луки. Хлопок при этом обеспечит полный комфорт. Мягкая рубашка будет широко востребована у модниц всех возрастов. Данная рубашка невероятно удобная, она не сковывает движения, не сдавливает плечи. В модельном ряде представлено множество вариантов цветов рубашек- белая, бежевая, зеленая, розовая, сиреневая, черная, фуксия и др. Вы можете купить наши товары по акции, в подарок со скидкой!Сделано в России.",True,Юлия,"Цвет не белоснежный а синеватый какой-то. Но главное разочарование, это состав. Нет там 100% хлопка. Половина синтетика",False,ok,1.0,белый,<М>
7,Рубашка оверсайз,"ВНИМАНИЕ! Рубашка из хлопка мнется, так как материал натуральный. Если вы предпочитаете рубашки из менее прихотливых видов ткани, обратите внимание на рубашку такой же посадки из смесового хлопка - арт. 80012708 Рубашка из смесового хлопка не мнется и легко гладится.Плотная рубашка оверсайз из натурального мягкого и приятного к телу 100% хлопка. Без обьемной рубашки с длинным рукавом не обойдется ни один базовый гардероб. Блуза прямого кроя оверсайз станет любимой одеждой девочек подростков, взрослых девушек и даже беременных. Классическая объемная рубаха обладает невероятно большим спектром применение, подойдет для офиса и школы, вечерних весенних прогулок, праздничных мероприятий. Плотная, но легкая хлопковая блузка женская идеально дополнит подростковый и рабочий лук, будет активно использоваться в повседневной жизни не только летом, но и в демисезонный период (осенью и весной). С ней без труда удастся создать модные, красивые луки. Хлопок при этом обеспечит полный комфорт. Мягкая рубашка будет широко востребована у модниц всех возрастов. Данная рубашка невероятно удобная, она не сковывает движения, не сдавливает плечи. В модельном ряде представлено множество вариантов цветов рубашек- белая, бежевая, зеленая, розовая, сиреневая, черная, фуксия и др. Вы можете купить наши товары по акции, в подарок со скидкой!Сделано в России.",True,Екатерина,"Достойная вещь, стирала руками, ничего не случилось с тканью. Люблю овер рубашки, взяла размер больше своего. Я довольна!",False,ok,5.0,белый,<М>
9,Рубашка оверсайз,"ВНИМАНИЕ! Рубашка из хлопка мнется, так как материал натуральный. Если вы предпочитаете рубашки из менее прихотливых видов ткани, обратите внимание на рубашку такой же посадки из смесового хлопка - арт. 80012708 Рубашка из смесового хлопка не мнется и легко гладится.Плотная рубашка оверсайз из натурального мягкого и приятного к телу 100% хлопка. Без обьемной рубашки с длинным рукавом не обойдется ни один базовый гардероб. Блуза прямого кроя оверсайз станет любимой одеждой девочек подростков, взрослых девушек и даже беременных. Классическая объемная рубаха обладает невероятно большим спектром применение, подойдет для офиса и школы, вечерних весенних прогулок, праздничных мероприятий. Плотная, но легкая хлопковая блузка женская идеально дополнит подростковый и рабочий лук, будет активно использоваться в повседневной жизни не только летом, но и в демисезонный период (осенью и весной). С ней без труда удастся создать модные, красивые луки. Хлопок при этом обеспечит полный комфорт. Мягкая рубашка будет широко востребована у модниц всех возрастов. Данная рубашка невероятно удобная, она не сковывает движения, не сдавливает плечи. В модельном ряде представлено множество вариантов цветов рубашек- белая, бежевая, зеленая, розовая, сиреневая, черная, фуксия и др. Вы можете купить наши товары по акции, в подарок со скидкой!Сделано в России.",True,Людмила,"Рубашка очень хорошего качества , хорошая модель  и пошив . Не угадала с размером только . Буду перезаказывать .",False,ok,5.0,белый,<М>
10,Рубашка оверсайз,"ВНИМАНИЕ! Рубашка из хлопка мнется, так как материал натуральный. Если вы предпочитаете рубашки из менее прихотливых видов ткани, обратите внимание на рубашку такой же посадки из смесового хлопка - арт. 80012708 Рубашка из смесового хлопка не мнется и легко гладится.Плотная рубашка оверсайз из натурального мягкого и приятного к телу 100% хлопка. Без обьемной рубашки с длинным рукавом не обойдется ни один базовый гардероб. Блуза прямого кроя оверсайз станет любимой одеждой девочек подростков, взрослых девушек и даже беременных. Классическая объемная рубаха обладает невероятно большим спектром применение, подойдет для офиса и школы, вечерних весенних прогулок, праздничных мероприятий. Плотная, но легкая хлопковая блузка женская идеально дополнит подростковый и рабочий лук, будет активно использоваться в повседневной жизни не только летом, но и в демисезонный период (осенью и весной). С ней без труда удастся создать модные, красивые луки. Хлопок при этом обеспечит полный комфорт. Мягкая рубашка будет широко востребована у модниц всех возрастов. Данная рубашка невероятно удобная, она не сковывает движения, не сдавливает плечи. В модельном ряде представлено множество вариантов цветов рубашек- белая, бежевая, зеленая, розовая, сиреневая, черная, фуксия и др. Вы можете купить наши товары по акции, в подарок со скидкой!Сделано в России.",True,Елена,"Дочь довольна, рубашка овер, но в размер, если меньше размер брать, рукав коротковат",False,ok,5.0,белый,<М>
11,Рубашка оверсайз,"ВНИМАНИЕ! Рубашка из хлопка мнется, так как материал натуральный. Если вы предпочитаете рубашки из менее прихотливых видов ткани, обратите внимание на рубашку такой же посадки из смесового хлопка - арт. 80012708 Рубашка из смесового хлопка не мнется и легко гладится.Плотная рубашка оверсайз из натурального мягкого и приятного к телу 100% хлопка. Без обьемной рубашки с длинным рукавом не обойдется ни один базовый гардероб. Блуза прямого кроя оверсайз станет любимой одеждой девочек подростков, взрослых девушек и даже беременных. Классическая объемная рубаха обладает невероятно большим спектром применение, подойдет для офиса и школы, вечерних весенних прогулок, праздничных мероприятий. Плотная, но легкая хлопковая блузка женская идеально дополнит подростковый и рабочий лук, будет активно использоваться в повседневной жизни не только летом, но и в демисезонный период (осенью и весной). С ней без труда удастся создать модные, красивые луки. Хлопок при этом обеспечит полный комфорт. Мягкая рубашка будет широко востребована у модниц всех возрастов. Данная рубашка невероятно удобная, она не сковывает движения, не сдавливает плечи. В модельном ряде представлено множество вариантов цветов рубашек- белая, бежевая, зеленая, розовая, сиреневая, черная, фуксия и др. Вы можете купить наши товары по акции, в подарок со скидкой!Сделано в России.",True,Ольга,"рубашка очень большая, два раза отказ , размер 44 как 52",False,bigger,1.0,белый,<М>
12,Рубашка оверсайз,"ВНИМАНИЕ! Рубашка из хлопка мнется, так как материал натуральный. Если вы предпочитаете рубашки из менее прихотливых видов ткани, обратите внимание на рубашку такой же посадки из смесового хлопка - арт. 80012708 Рубашка из смесового хлопка не мнется и легко гладится.Плотная рубашка оверсайз из натурального мягкого и приятного к телу 100% хлопка. Без обьемной рубашки с длинным рукавом не обойдется ни один базовый гардероб. Блуза прямого кроя оверсайз станет любимой одеждой девочек подростков, взрослых девушек и даже беременных. Классическая объемная рубаха обладает невероятно большим спектром применение, подойдет для офиса и школы, вечерних весенних прогулок, праздничных мероприятий. Плотная, но легкая хлопковая блузка женская идеально дополнит подростковый и рабочий лук, будет активно использоваться в повседневной жизни не только летом, но и в демисезонный период (осенью и весной). С ней без труда удастся создать модные, красивые луки. Хлопок при этом обеспечит полный комфорт. Мягкая рубашка будет широко востребована у модниц всех возрастов. Данная рубашка невероятно удобная, она не сковывает движения, не сдавливает плечи. В модельном ряде представлено множество вариантов цветов рубашек- белая, бежевая, зеленая, розовая, сиреневая, черная, фуксия и др. Вы можете купить наши товары по акции, в подарок со скидкой!Сделано в России.",True,Александра,"Хорошее качество, не угадала с размером. Перезакажу",False,ok,5.0,белый,<М>
